query,pos_context,neg_context
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",low utilization 15d) t:12000 (+20/- 12000 hrs 0 12020 9920.7 (+20) 20) t:6000 (+20/-20) 6000 afl 0 6020 4796 (+20) proc. ref: smrd lu96 t288 package pkg:5018 233510-7112u aft antenna installation inspection service ata:05 mos 23-feb-18 20000 20843.2 hrs 843.2 18763.9 20000 20495 afl 495 19291 233510-7113u coax cable installation,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",1167 d (+15) low utilization 3000 (+20/-20) 4463 hrs 1463 4483 2383.7 (+20) 1500 (+20/-20) 2368 afl 868 2388 1164 (+20) proc. ref: smrd lu72 package pkg:5012 05-lu96 low utilization-lu96 package ata:05 96 (+15d/-15d) 10-may-30 mos 10-may-22 25-may-30 2704 d (+15) low utilization 4000 (+20/-20) 5665.9 hrs 1665.9 5685.9 3586.6,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",ata:05 192 (+15d/-15d) 26-feb-30 mos 26-feb-14 13-mar-30 2631 d (+15) low utilization 8000 (+20/-20) 8000 hrs 0 8020 5920.7 (+20) 4000 (+20/-20) 4000 afl 0 4020 2796 (+20) proc. ref: smrd lu192 package pkg:5032 05-lu24 low utilization-lu24 package ata:05 24 (+15d/-15d) 10-may-24 mos 10-may-22 25-may-24 513 d (+15) low utilization,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",interval tsx/adj. max limit remaining disposition (eng/apu) a/c ata 05 - time limits/maintenance checks 05-lu144 low utilization-lu144 package ata:05 144 (+15d/-15d) 26-feb-26 mos 26-feb-14 13-mar-26 1170 d (+15) low utilization 6000 (+20/-20) 6000 hrs 0 6020 3920.7 (+20) 3000 (+20/-20) 3000 afl 0 3020 1796 (+20) proc. ref: smrd lu144,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }","to tip rib, including attachment bolts (ssi 55-30-65)- fin-to-horizontal stabilizer support actuators, includ- ing bolt (ssi 55-30-75)- actuator support fittings (rudder) (ssi 55-30-79)- pcu support fittings (ssi 55-30-80) (l650 only) 144 (+15d/-15d) 26-feb-26 mos 26-feb-14 13-mar-26 1170 d (+15) low utilization 6000 (+20/-20) 6000 hrs 0 6020 3920.7 (+20) 3000","emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",(+15d/-15d) 26-feb-30 mos 26-feb-14 13-mar-30 2631 d (+15) low utilization 8000 (+20/-20) 8000 hrs 0 8020 5920.7 (+20) 4000 (+20/-20) 4000 afl 0 4020 2796 (+20) proc. ref: ndt 57-11-00 pkg:5032 57-11-00-220-806-l00 detailed inspection (internal) of wing stub components:- spar 1 - lower front fitting attachments and spar 2 -,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",mos 26-feb-14 13-mar-30 2631 d (+15) low utilization 8000 (+20/-20) 8000 hrs 0 8020 5920.7 (+20) 4000 (+20/-20) 4000 afl 0 4020 2796 (+20) proc. ref: ndt 57-61-00 pkg:5032 57-61-00-220-804-l00 detailed inspection (internal) of aileron components:- aileron actuator fittings (ssi 57-61-12) service ata:57 n/a mos/msc 26-feb-14 hrs 0 afl 0,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",ref: ndt 53-12-00 pkg:5016 53-12-00-220-802-l00 detailed inspection (internal) of fuselage components:- windshield center post and its attachment (ssi 53-10-19) service ata:53 192 (+15d/-15d) 26-feb-30 mos 26-feb-14 13-mar-30 2631 d (+15) low utilization 8000 (+20/-20) 8000 hrs 0 8020 5920.7 (+20) 4000 (+20/-20) 4000 afl 0 4020 2796 (+20) proc. ref:,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",ata:57 192 (+15d/-15d) 26-feb-30 mos 26-feb-14 13-mar-30 2631 d (+15) low utilization 8000 (+20/-20) 8000 hrs 0 8020 5920.7 (+20) 4000 (+20/-20) 4000 afl 0 4020 2796 (+20) proc. ref: ndt 57-22-00 pkg:5032 57-22-00-210-805-l00s general visual inspection (internal) of wing components:- spar 1 cap (ssi 57-22-41) service ata:57 96s (+15d/-15d),"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }","57-22-40)- spar 1, web cutouts service ata:57 (ssi 57-22-42) 192 (+15d/-15d) 26-feb-30 mos 26-feb-14 13-mar-30 2631 d (+15) low utilization 8000 (+20/-20) 8000 hrs 0 8020 5920.7 (+20) 4000 (+20/-20) 4000 afl 0 4020 2796 (+20) proc. ref: ndt 57-22-00 pkg:5032 57-22-00-220-803-l00s detailed inspection (internal) of wing components:- spar 1,","emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",stiffeners (ssi 57-22-40) service ata:57 192 (+15d/-15d) 26-feb-30 mos 26-feb-14 13-mar-30 2631 d (+15) low utilization 8000 (+20/-20) 8000 hrs 0 8020 5920.7 (+20) 4000 (+20/-20) 4000 afl 0 4020 2796 (+20) proc. ref: ndt 57-22-00 pkg:5032 57-22-00-220-802-l00 detailed inspection (external) of wing components:- spar 1/ web and stiffeners (ssi,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }","sta- bilizer (ssi service ata:55 55-10-14) 192 (+15d/-15d) 26-feb-30 mos 26-feb-14 13-mar-30 2631 d (+15) low utilization 8000 (+20/-20) 8000 hrs 0 8020 5920.7 (+20) 4000 (+20/-20) 4000 afl 0 4020 2796 (+20) proc. ref: ndt 55-10-00 pkg:5032 55-10-00-210-c01-l00s general visual inspection (external) of horizon- tal stabilizer components:- u shape,","emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",afl: 1204 as of: 10-dec-2022 next due pn & sn unit c/w interval tsx/adj. max limit remaining disposition (eng/apu) a/c ata 21 - air conditioning 21-60-08-960-001-a00 discard torque-motor dual-valve filter service ata:21 192 (+15d/-15d) 26-feb-30 mos 26-feb-14 13-mar-30 2631 d (+15) low utilization 8000 (+20/-20) 8000 hrs 0 8020 5920.7,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",ndt 53-12-00 pkg:5032 53-12-00-220-803-l00 detailed inspection (internal) of fuselage components:- windshield lateral post and its attachment (ssi 53-10-20)- service ata:53 cockpit window rear post and its attachment (ssi 53-10-22) 192 (+15d/-15d) 26-feb-30 mos 26-feb-14 13-mar-30 2631 d (+15) low utilization 8000 (+20/-20) 8000 hrs 0 8020 5920.7 (+20) 4000 (+20/-20),"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",8000 (+20/-20) 8000 hrs 0 8020 5920.7 (+20) 4000 (+20/-20) 4000 afl 0 4020 2796 (+20) proc. ref: ndt 54-50-00 pkg:5032 54-50-00-220-809-l00s detailed inspection (internal) of pylon component:- pylon yokes i and ii (ssi 54-50-05) secondary service ata:54 element. t:288s (+15d/- mos 26-feb-14 low utilization 15d) t:12000s (+20/- hrs 0,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",hrs 1665.9 2000s (+20/-20) afl 1013 proc. ref: ndt 53-31-00 pkg:5016 53-31-00-210-802-l00 general visual inspection (internal) of fuselage components:- baggage door lateral l- shape (ssi 53-30-03) service ata:53 192 (+15d/-15d) 26-feb-30 mos 26-feb-14 13-mar-30 2631 d (+15) low utilization 8000 (+20/-20) 8000 hrs 0 8020 5920.7 (+20) 4000 (+20/-20) 4000,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",29-10-04-900-001-a00 discard lh rack dc electric motor driven hydraulic pump emdp brushes service ata:29 pn:971533 mos 26-feb-14 system 6000 6000 sn:mx769957 hrs 0 3920.7 afl 0 proc. ref: amm 29-10-04 29-10-04-900-001-a00 discard rh rack dc electric motor driven hydraulic pump empd brushes service ata:29 pn:971533 mos 26-feb-14 system 6000 6000,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",(+20) 2000 (+20/-20) 3013 afl 1013 3033 1809 (+20) proc. ref: smrd lu96 package pkg:5016 05-lu96t192 threshold 192 mos low utilization-lu96 package ata:05 t:192 (+15d/- 26-feb-30 mos 26-feb-14 13-mar-30 2631 d (+15) low utilization 15d) t:8000 (+20/-20) 8000 hrs 0 8020 5920.7 (+20) t:4000 (+20/-20) 4000 afl 0 4020 2796,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }","1526 d (+30) system 8000 9546.6 hrs 1546.6 7467.3 afl 923 proc. ref: amm 34-13-00, far far 43 appendix e, far far 91.411 / 91.217 34-13-00-680-001-a00s service (drain) pitot lines service ata:34 12s (+15d/-15d) mos 10-may-22 low utilization 500s (+20/-20) hrs 1665.9 afl 1013 proc. ref: amm 34-13-00, far far","emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",afl 0 tsn 0 proc. ref: ndt generic 322001-0101 top nlg main drag strut stay component ata:32 pn:1172a0800-01 mos 26-feb-14 tsn 0 life limit sn:hm1828 hrs 0 tsn 0 6000 6000 afl 0 tsn 0 4796 special properties: rii item proc. ref: ndt generic 322001-0201 bottom nlg main drag strut,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",-14)- frames (ssi 53-10-43) 96s (+15d/-15d) mos 10-may-22 low utilization 4000s (+20/-20) hrs 1665.9 2000s (+20/-20) afl 1013 proc. ref: cpm 53-12-00 pkg:5016 53-12-00-220-c03-l00s detailed inspection (internal) of fuselage components:- cockpit floor beam,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
"maintenance: {
              ""summary"": str = Field(description= MAINTENANCE CHECKS),
              ""scheduledInspections"": [
                {
                  ""title"": str = Field(description= Title of the scheduled MAINTENANCE CHECKS.' ),
                  ""performedDate"": DateTime = Field(description= Oldest Date DD/MM/YYYY of the MAINTENANCE CHECK),
                  ""performedHours"": int = Field(description= Number of performed Hours at the time of the Last MAINTENANCE CHECK),
                  ""dueDate"": DateTime = Field(description= Due Date DD/MM/YYYY of the next planed MAINTENANCE CHECK),
                  ""dueHoursOrCycles"": int = Field(description= Number of Hours Cycles to the next planed MAINTENANCE CHECK)
                }
              ]
            }",analysis resulted in threshold reduction for mandatory not applicable - to aircraft model (g)(3)(i) some structure significant items (ssi) of the maintenance review board report (mrbr) airworthiness limitations items (ali) task 57-10-00-250-801-a00 mos 26-feb-2014 22-jul-2010 hrs/msc - 0 afl 0 faa 2010-12-07 para comply with reassessment of the damage tolerance,"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
